"","V1"
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",0.863355479043221
"226",0.887746267946734
"227",0.875167108236662
"228",0.78025553750291
"229",0.617683701558541
"230",0.666315379942697
"231",0.826504929414957
"232",0.867612424382078
"233",0.884354194356582
"234",0.830828996442631
"235",0.7922035906231
"236",0.836769397233214
"237",0.745971028300279
"238",0.730004408974313
"239",0.758821163518951
"240",0.811489505859253
"241",0.845132403895038
"242",0.735852540930757
"243",0.847489804004201
"244",0.783554820583849
"245",0.762560067124299
"246",0.819191291968075
"247",0.838399467380619
"248",0.892111241757789
"249",0.812905998805551
"250",0.840072689027535
"251",0.872889962470748
"252",0.887351808431288
"253",0.815682802549749
"254",0.782661645742614
"255",0.810818448131915
"256",0.758474181751024
"257",0.709454626321002
"258",0.616435347406206
"259",0.640214636537994
"260",0.664504017294105
"261",0.595568802678625
"262",0.625409718200244
"263",0.603074517159944
"264",0.567688590916851
"265",0.581113935662319
"266",0.599835069506983
"267",0.569695167129965
"268",0.542537988571076
"269",0.523616867200502
"270",0.552007259422687
"271",0.613083872617242
"272",0.672153681123416
"273",0.666973354790976
"274",0.690141570400288
"275",0.738693919695387
"276",0.780470105584676
"277",0.812521887765156
"278",0.761412561827008
"279",0.815717712943388
"280",0.835845005986124
"281",0.865524687932544
"282",0.936240153360625
"283",0.925466966934196
"284",0.918354956633706
"285",0.906515035132824
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",0.88213691957065
"322",0.917707610647321
"323",0.884705087106819
"324",0.859476566341612
"325",0.78105654839731
"326",0.837998942109413
"327",0.931970594152165
"328",0.837790045692669
"329",0.715986814298631
"330",0.837583143611452
"331",0.741938142168609
"332",0.932456189572675
"333",0.943526973462768
"334",0.863444081788885
"335",0.763128904514333
"336",0.749215093665844
"337",0.777749263262094
"338",0.747423641073482
"339",0.880855437385906
"340",0.958159783123079
"341",0.924699077390262
"342",0.895997822875233
"343",0.960214705485807
"344",0.807765481642667
"345",0.892954156547254
"346",0.856858880157414
"347",0.840714229401769
"348",0.800881620697911
"349",0.744126141350017
"350",0.850203705500668
"351",0.863515154925963
"352",0.786047733305536
"353",0.819738642960213
"354",0.794199202937541
"355",0.765325432964514
"356",0.684334488459868
"357",0.672064634420138
"358",0.632287305469099
"359",0.621766689758807
"360",0.569706560499416
"361",0.519032651957237
"362",0.520755459529899
"363",0.581616321767109
"364",0.545734664624142
"365",0.545202038550835
"366",0.522758988852883
"367",0.511602916805568
"368",0.548212429469994
"369",0.561487277637536
"370",0.621210143857743
"371",0.661074994114318
"372",0.684633057836871
"373",0.686851713120568
"374",0.737321790370332
"375",0.795468120466594
"376",0.732436313314968
"377",0.759951289898123
"378",0.82206891031137
"379",0.866824567497791
"380",0.936641622535857
"381",0.946035186127571
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",0.98302584872885
"417",0.987013846778125
"418",1
"419",1
"420",0.895564049857443
"421",0.878306035569339
"422",0.803218220366589
"423",0.806740301518304
"424",0.778208731201739
"425",0.911519319752946
"426",0.959616643218281
"427",0.931492411195561
"428",0.889316232803374
"429",0.951100898817473
"430",0.921391953126401
"431",0.984970144935539
"432",0.899243153520916
"433",0.937765399815826
"434",0.928142499496829
"435",0.886980169872075
"436",0.898508200748816
"437",0.830885064507257
"438",0.836479005255019
"439",0.850500315189626
"440",0.801077431642654
"441",0.88837793657786
"442",0.841907976712911
"443",0.881653977615692
"444",0.78405113922555
"445",0.788513880885944
"446",0.682483711574953
"447",0.814270146115777
"448",0.803797996607982
"449",0.840169165727263
"450",0.799880351405687
"451",0.726598297390058
"452",0.742828143309033
"453",0.656389929259482
"454",0.661238745443673
"455",0.634724385486927
"456",0.569992382636625
"457",0.583207676925408
"458",0.569001784562109
"459",0.536373593817731
"460",0.565317955674572
"461",0.571655239318162
"462",0.58547000622006
"463",0.588886970987362
"464",0.613222086007672
"465",0.618382250244608
"466",0.651934086645283
"467",0.643862184954717
"468",0.65650444333655
"469",0.738103777409375
"470",0.760795504337918
"471",0.765527954853772
"472",0.791209111351158
"473",0.864746723680995
"474",0.877483563257255
"475",0.87191342174893
"476",0.85279439669005
"477",0.89119384984344
"478",1
"479",1
"480",1
"481",1
"482",1
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",1
"503",1
"504",1
"505",1
"506",1
"507",1
"508",1
"509",1
"510",1
"511",1
"512",0.932417562836381
"513",0.802532008936784
"514",0.923777656647207
"515",0.863820610637742
"516",0.830912716783438
"517",0.816156308308706
"518",0.873789921666476
"519",0.881276347353937
"520",0.893984399029269
"521",0.777617594121143
"522",0.962245640408889
"523",0.896919917994363
"524",0.835178969870568
"525",0.736513160869623
"526",0.841646148651734
"527",0.893081827053335
"528",0.83881349494917
"529",0.864571350953661
"530",0.884720353688573
"531",0.948995405507048
"532",0.9227012664173
"533",0.954210275325572
"534",0.854084578232611
"535",0.82685871729748
"536",0.907980327358896
"537",1
"538",0.847766815516061
"539",0.877952936756527
"540",0.895700401190446
"541",0.806633609138755
"542",0.833905231813426
"543",0.887737439805216
"544",0.870105488099487
"545",0.930484462615391
"546",0.905847704967108
"547",0.784230904731403
"548",0.716993473020527
"549",0.591002809196162
"550",0.582609734667902
"551",0.492296411855492
"552",0.568619242104966
"553",0.587037871431245
"554",0.58798626138451
"555",0.534543497469243
"556",0.558736020693453
"557",0.591802688972462
"558",0.568401324518838
"559",0.548465579267691
"560",0.584091164262614
"561",0.608458904768883
"562",0.631107145108226
"563",0.688439774083272
"564",0.686061599359458
"565",0.732135840470051
"566",0.729770792341812
"567",0.724348778268736
"568",0.759145977125238
"569",0.849532465499458
"570",0.872413353821536
"571",0.884172002408441
"572",0.949645106147875
"573",0.859124743658439
"574",0.861872679073027
"575",1
"576",1
"577",1
"578",1
"579",1
"580",1
"581",1
"582",1
"583",1
"584",1
"585",1
"586",1
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",1
"598",1
"599",1
"600",1
"601",1
"602",1
"603",1
"604",1
"605",1
"606",1
"607",1
"608",1
"609",0.93822224400378
"610",0.940894007475569
"611",0.868123389856315
"612",0.800103917791202
"613",0.80488810225678
"614",0.787619260607736
"615",0.811614121901306
"616",0.711025023515771
"617",0.638919516226431
"618",0.624976542926907
"619",0.553776839019368
"620",0.711832387635935
"621",0.657488049667976
