"","V1","V2","V3"
"53",21.3735974129,0.0955107447,21.3451805592
"54",21.0552289671,0.2683095711,18.5310755443
"55",20.6246854096,0.0955491934,18.7037265957
"56",20.2126223782,0.2063967206,20.3415094181
"57",19.6791468645,0.1441198894,19.1612783068
"58",18.9373831989,0.1605860736,23.0122489516
"59",18.3361317623,0.1971185484,20.4206130811
"60",17.6015267746,0.102053051,21.8759891813
"61",17.0049030242,0.2594519436,19.3911680947
"62",16.5119608713,0.1081346318,20.9278964931
"63",16.1189342128,0.4603804281,21.5911351957
"64",15.6955607231,0.2288608914,19.5532478194
"65",15.5132827819,0.2820581994,17.2065124259
"66",15.3296912287,0.1183109865,18.895409183
"67",15.2103066053,0.2788935023,24.8503966744
"68",15.1955600566,0.1157881819,25.4428204846
"69",15.2078711459,0.3664787973,26.4964920438
"70",15.2021852117,0.2431017606,27.9331922129
"71",15.2003049586,0.3770469636,24.4138938263
"72",15.2041078319,0.2186380752,26.2512609084
"73",15.2005063205,0.369718481,27.4210397418
"74",15.2001552167,0.2337250136,28.1061812935
"75",15.2006376222,0.3824249472,25.9466150694
"76",15.1967881723,0.2131988034,24.8494607867
"77",15.1922447674,0.3872733518,24.9141160816
"78",15.1924644615,0.2189065895,24.1851373109
"79",15.1936141487,0.3858344414,23.3497825282
"80",15.1931251509,0.2127928301,23.7539092625
"81",15.1885335778,0.3939848401,21.8849768322
"82",15.1876440733,0.2181375823,21.9386506448
"83",15.1861637523,0.3916214464,21.733482834
"84",15.1892319954,0.212991031,20.5289215121
"85",15.1870112979,0.401294489,20.8710630974
"86",15.1855658225,0.218242295,21.0234631269
"87",15.1868555091,0.289718948,20.0182370084
"88",15.109752107,0.0853042947,18.9918164345
"89",15.3366637093,0.003829286,19.9690612664
"90",15.1588941106,0.0047364748,18.5403728489
"91",15.3188825454,0.0048478889,17.1629896827
"92",15.143244655,0.0048580158,16.3574636493
"93",14.0611504481,0.0127694997,14.617826086
"94",14.9890686487,0.0071351689,14.4601112264
"95",15.2879639693,0.0046901413,13.7837748504
"96",15.1865387663,0.0034972869,12.2487564196
"97",15.2796013365,0.0035111634,12.026362221
"98",15.2136662637,0.0035076608,10.5414283501
"99",15.2537334211,0.0035295302,10.7448637706
"100",15.2233418901,0.0035321854,10.3844657793
"101",15.2587496511,0.0035384921,9.822014254
"102",15.2033598418,0.0035424312,9.6827109195
"103",15.2544685541,0.003550038,10.3881145337
"104",15.2120497316,0.0035539247,10.2914943072
"105",15.4311838364,0.0035478764,10.206287744
"106",15.400275801,0.0035524697,9.6524716237
"107",15.3441919825,0.0047125696,9.3456419636
"108",15.4676081518,0.0039762482,10.0696523531
"109",15.3413793893,0.0035444218,10.1871277908
"110",15.4837597963,0.0035514784,10.8033445927
"111",15.2840866333,0.0054381233,10.3008539698
"112",15.476817769,0.0067520449,10.1274259518
"113",15.3259463394,0.0049101576,9.6302783586
"114",15.5069060746,0.004906045,10.0327347385
"115",15.3222200571,0.0049033711,9.5202542942
"116",15.4971084293,0.0048835327,9.6409633033
"117",15.3266287421,0.0048530235,10.1278669858
"118",15.4653562513,0.0048535332,10.6044466155
"119",15.3550272097,0.0040884919,11.1866873922
"120",15.2882965974,0.1153989846,10.883409505
"121",15.2068346272,0.2890057192,11.2004975091
"122",15.2108491803,0.2702956872,13.4700729725
"123",15.2131175067,0.3371472075,12.3940448227
"124",15.2099636399,0.2331055477,13.2675992255
"125",15.2081730101,0.3774831344,14.1516147729
"126",15.2022265302,0.2407304745,18.5234229093
"127",15.1962129539,0.5625778113,15.4586983373
"128",15.1966000488,0.6870268267,14.8092089719
"129",15.2159513155,0.6716561947,16.528880436
"130",15.3667037638,1.2083037081,18.3841618366
"131",15.5410036918,1.6750748482,16.4041275564
"132",15.8266745613,1.869252415,14.4703571123
"133",16.0226060355,1.5617145217,16.1036156188
"134",15.9885112988,1.8648593488,16.8874884019
"135",16.1938878296,1.5808951236,16.0956816413
"136",16.3135484116,1.855117416,14.8671679205
