"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0.2650130401,0,0,0,1.3446892292,12.3603140273,1.33613572
"2",0,0.0946710333,0,0,0,1.3439231704,12.361019321,1.3343999193
"3",0,0.178526663,0,0,0,1.3424215388,12.3616370517,1.3353300516
"4",0,0.1690182764,0,0,0,1.344125152,12.3613425081,1.3354797942
"5",0,0.1302815113,0,0,0,1.3430636462,12.3741349719,1.3368611458
"6",0,0.2324342639,0,0,0,1.3412484248,12.3612747272,1.3358568783
"7",0,0.0946976123,0,0,0,1.3402748346,12.3617522507,1.3365859797
"8",0,0.2673643867,0,0,0,1.3361741809,12.3610331116,1.335812228
"9",0,0.0981570411,0,0,0,1.3393179948,12.361309883,1.3342677101
"10",0.1443203552,0.2180226822,0,0,0,1.3385762219,12.3624886018,1.3350216684
"11",0.1770335487,0.1380219475,0,0,0,1.336417128,12.3616642055,1.3450469352
"12",0.1743243923,0.1368150312,0,0,0,1.3373003072,12.3616033351,1.3520945066
"13",0.1733488052,0.2340124053,0,0,0,1.3337109341,12.3616405769,1.3517196444
"14",0.1728216893,0.0969371812,0,0,0,1.3379730403,12.3613904911,1.3492573166
"15",0.1725594683,0.2574532438,0,0,0,1.3356936156,12.3614078756,1.2992633122
"16",0.1725008143,0.1055263515,0,0,0,1.3393568304,12.3615792467,1.3324363588
"17",0.1724487629,0.2714168851,0,0,0,1.3348092224,12.3626440408,1.3472672398
"18",0.1722425427,0.0947282457,0,0,0,1.3359838257,12.3608617513,1.3472699704
"19",0.1719556706,0.2562459112,0,0,0,1.3399951431,12.3622792252,1.3470858531
"20",0.172184381,0.175948166,0,0,0,1.3379247256,12.3612216106,1.3465129987
"21",0.1719502302,0.4254023326,0,0,0,1.3347399613,12.3618412657,1.3470349995
"22",0.1723412294,0.1892768238,0,0,0,1.334714965,12.3616126483,1.3470713133
"23",0.1704117682,0.20861735,0,0,0,1.3329438595,12.3622010769,1.3476596402
"24",0.1604006466,0.1487744395,0,0,0,1.3323991479,12.3614132679,1.3473376742
"25",0.1624854331,0,0,0,0,1.3315016026,12.3612843416,1.3464374125
"26",0.1601874633,0,0,0,0,1.3327931809,12.3624488498,1.3457227979
"27",0.1590647994,0,0,0,0,1.3346916259,12.3613809437,1.3437564955
"28",0.158259424,0,0,0,0,1.3389170689,12.3617441965,1.3465593696
"29",0.156203364,0,0,0,0,1.3391316132,12.3611424715,1.3477844939
"30",0.1552696877,0,0,0,0,1.3380915077,12.3617442026,1.3455202993
"31",0.1546789056,0,0,0,0,1.3378348338,12.3618324508,1.344770053
"32",0.1541244117,0,0,0,0,1.3382520177,12.3606806124,1.3441402695
"33",0.1535161523,0,0,0.0298841489,0,1.3404075496,12.3615250572,1.3420356371
"34",0.1521608136,0,0,0.2341287654,0,1.3423692796,12.3615413696,1.3419636898
"35",0.1517805177,0,0,0.492683563,0,1.3416783326,12.3607803466,1.342209584
"36",0.1518718788,0,0,0.7417098044,0,1.3424378758,12.3618214534,1.3413621997
"37",0.1510774656,0,0,1.0493166536,0,1.342519715,12.3612665593,1.3408330133
"38",0.1511644824,0,0,1.5024090664,0,1.3420843954,12.3611193532,1.341323397
"39",0.1512507262,0,0,2.0396150261,0,1.3415583956,12.361100449,1.3419072653
"40",0.1501452498,0,0,2.5254178417,0.0124783125,1.3405564221,12.3608785852,1.3426358046
"41",0.1499003275,0,0,2.9921256187,0.0374502483,1.3374891491,12.3605119167,1.3430289368
"42",0.1425572511,0,0.0003426818,3.4113174385,0.0368349435,1.3381171541,12.3615504217,1.343650957
"43",0.1479432798,0,0.0047241502,3.8905758237,0.0407532063,1.3393380383,12.3611679187,1.3429901512
"44",0.1473351141,0,0.0075732637,4.5539577388,0.0491656824,1.3386819152,12.3618124777,1.342002109
"45",0.1497058292,0,0.0097220875,5.0314553285,0.0506904898,1.3410147266,12.36176954,1.3415295925
"46",0.1494929424,0,0.0153385745,5.2868421207,0.0523555856,1.3404148885,12.3616833686,1.3393489101
"47",0.1501014052,0,0.0243874304,5.3768486571,0.0691654254,1.3343181538,12.3618077424,1.3404738368
"48",0.1499978771,0,0.0182686944,5.5821190948,0.0851375697,1.3356997844,12.3617220254,1.3429475954
"49",0.1489360234,0,0.0117258323,5.8730707593,0.1199622198,1.3358771887,12.361583457,1.3433321865
"50",0.1493930379,0,0.0080571382,6.0201456799,0.397050021,1.3353026468,12.3613779328,1.3406021178
"51",0.1484955542,0,0.008890903,5.9884930683,0.4773863312,1.3374168282,12.3621226139,1.3357832967
"52",0.1482405077,0,0.0105511773,5.9023062542,0.4478454451,1.3346181983,12.3651662897,1.3342522144
"53",0.1484547545,0,0.013111531,5.7720250785,0.4039003381,1.3345122945,12.3632533416,1.3383400747
"54",0.1482775396,0,0.0122244651,5.5235645525,0.3340689384,1.33460815,12.3619043579,1.3405809636
"55",0.1476263263,0,0.0115898148,5.1647455471,0.2621003769,1.3348923214,12.3616825186,1.3420485045
"56",0.1463020163,0,0.0104960836,4.8367264357,0.179676922,1.336182694,12.3619631476,1.341275079
"57",0.1430175092,0,0.0077902322,4.3551177613,0.126794914,1.3380256089,12.3612802117,1.3471206272
"58",0.1392101446,0,0.00650398,3.6773216294,0.0606099448,1.3397664295,12.361679671,1.3522913996
"59",0.1398952712,0,0.0071128601,3.0988278287,0.0391819043,1.3388063419,12.3621517039,1.3501558522
"60",0.1399722631,0,0.0045761978,2.3577389955,0.0480843453,1.3397540787,12.3617086903,1.3496922039
"61",0.1399413511,0,0.0006590021,1.7632022143,0.0494956776,1.3393760862,12.3626071633,1.3496215296
"62",0.1399425523,0,6.5e-05,1.2742145372,0.0442279546,1.343078794,12.3613755385,1.3490564947
"63",0.1425106326,0,0,0.8901073085,0.0374432324,1.3435786952,12.3615802323,1.3437141118
"64",0.1483604584,0,0,0.4773178901,0.0229132502,1.3424522575,12.3622452154,1.3422716515
"65",0.1495335433,0,0,0.3066180468,0.0094262746,1.3434295077,12.3618492,1.3424262095
"66",0.1491359251,0,0,0.1357852669,0.0008490462,1.3417355631,12.3614528258,1.3407326016
"67",0.148793668,0,0,0.0173587355,0,1.3422206909,12.3621133585,1.3398201524
"68",0.1470012602,0,0,0,0,1.342517367,12.364156016,1.3418854134
"69",0.1495288883,0,0,0,0,1.3427424334,12.362333464,1.3532663602
"70",0.1492380442,0,0,0,0,1.3401147276,12.3612540285,1.3515784114
"71",0.1505559607,0,0,0,0,1.3397330708,12.3614037402,1.3486121869
"72",0.1509740625,0,0,0,0,1.3407656843,12.3614734812,1.3508946039
"73",0.1510074102,0,0,0,0,1.339533655,12.3626476141,1.3473176412
