"","V1","V2"
"1",-0.0635366542007601,-0.0635366542007601
"2",-0.0635366542007601,-0.12707330840152
"3",-0.0635366542007601,-0.19060996260228
"4",-0.0635366542007601,-0.25414661680304
"5",-0.0635366542007601,-0.317683271003801
"6",-0.0635366542007601,-0.381219925204561
"7",-0.0635366542007601,-0.444756579405321
"8",-0.0635366542007601,-0.508293233606081
"9",-0.0635366542007601,-0.571829887806841
"10",-0.0635366542007601,-0.635366542007601
"11",-0.0635366542007601,-0.698903196208361
"12",-0.0635366542007601,-0.762439850409122
"13",-0.0635366542007601,-0.825976504609882
"14",-0.0635366542007601,-0.889513158810642
"15",-0.0635366542007601,-0.953049813011402
"16",-0.0635366542007601,-1.01658646721216
"17",-0.0635366542007601,-1.08012312141292
"18",-0.0635366542007601,-1.14365977561368
"19",-0.0635366542007601,-1.20719642981444
"20",-0.0635366542007601,-1.2707330840152
"21",-0.0635366542007601,-1.33426973821596
"22",-0.0635366542007601,-1.39780639241672
"23",-0.0635366542007601,-1.46134304661748
"24",-0.0635366542007601,-1.52487970081824
"25",-0.0635366542007601,-1.588416355019
"26",-0.0635366542007601,-1.65195300921976
"27",-0.0635366542007601,-1.71548966342052
"28",-0.0635366542007601,-1.77902631762128
"29",-0.0635366542007601,-1.84256297182204
"30",-0.0635366542007601,-1.9060996260228
"31",-0.0635366542007601,-1.96963628022356
"32",-0.0635366542007601,-2.03317293442432
"33",-0.0635366542007601,-2.09670958862508
"34",-0.0635366542007601,-2.16024624282584
"35",-0.0635366542007601,-2.2237828970266
"36",-0.0635366542007601,-2.28731955122736
"37",-0.0635366542007601,-2.35085620542812
"38",-0.0635366542007601,-2.41439285962888
"39",-0.0635366542007601,-2.47792951382964
"40",-0.0635366542007601,-2.5414661680304
"41",-0.0635366542007601,-2.60500282223117
"42",-0.0635366542007601,-2.66853947643193
"43",-0.0635366542007601,-2.73207613063269
"44",-0.0635366542007601,-2.79561278483345
"45",-0.0635366542007601,-2.85914943903421
"46",-0.0635366542007601,-2.92268609323497
"47",-0.0635366542007601,-2.98622274743573
"48",-0.0635366542007601,-3.04975940163649
"49",-0.0635366542007601,-3.11329605583725
"50",-0.0635366542007601,-3.17683271003801
"51",-0.0635366542007601,-3.24036936423877
"52",-0.0635366542007601,-3.30390601843953
"53",-0.0635366542007601,-3.36744267264029
"54",-0.0635366542007601,-3.43097932684105
"55",-0.0635366542007601,-3.49451598104181
"56",-0.0635366542007601,-3.55805263524257
"57",-0.0635366542007601,-3.62158928944333
"58",-0.0635366542007601,-3.68512594364409
"59",-0.0635366542007601,-3.74866259784485
"60",-0.0635366542007601,-3.81219925204561
"61",-0.0635366542007601,-3.87573590624637
"62",-0.0635366542007601,-3.93927256044713
"63",-0.0635366542007601,-4.00280921464789
"64",-0.0635366542007601,-4.06634586884865
"65",-0.0635366542007601,-4.12988252304941
"66",-0.0635366542007601,-4.19341917725017
"67",-0.0635366542007601,-4.25695583145093
"68",-0.0635366542007601,-4.32049248565169
"69",-0.0635366542007601,-4.38402913985245
"70",-0.0635366542007601,-4.44756579405321
"71",-0.0635366542007601,-4.51110244825397
"72",-0.0635366542007601,-4.57463910245473
"73",-0.0635366542007601,-4.63817575665549
"74",-0.0635366542007601,-4.70171241085625
"75",-0.0635366542007601,-4.76524906505701
"76",-0.0635366542007601,-4.82878571925777
"77",-0.0635366542007601,-4.89232237345853
"78",-0.0635366542007601,-4.95585902765929
"79",-0.0635366542007601,-5.01939568186005
"80",-0.0635366542007601,-5.08293233606082
"81",-0.0635366542007601,-5.14646899026158
"82",-0.0635366542007601,-5.21000564446234
"83",-0.0635366542007601,-5.2735422986631
"84",-0.0635366542007601,-5.33707895286386
"85",-0.0635366542007601,-5.40061560706462
"86",-0.0635366542007601,-5.46415226126538
"87",-0.0635366542007601,-5.52768891546614
"88",-0.0635366542007601,-5.5912255696669
"89",-0.0635366542007601,-5.65476222386766
"90",-0.0635366542007601,-5.71829887806842
"91",-0.0635366542007601,-5.78183553226918
"92",-0.0635366542007601,-5.84537218646994
"93",-0.0635366542007601,-5.9089088406707
"94",-0.0635366542007601,-5.97244549487146
"95",-0.0635366542007601,-6.03598214907222
"96",-0.0635366542007601,-6.09951880327298
"97",-0.0635366542007601,-6.16305545747374
"98",-0.0635366542007601,-6.2265921116745
"99",-0.0635366542007601,-6.29012876587526
"100",-0.0635366542007601,-6.35366542007602
"101",-0.0635366542007601,-6.41720207427678
"102",-0.0635366542007601,-6.48073872847754
"103",-0.0635366542007601,-6.5442753826783
"104",-0.0635366542007601,-6.60781203687906
"105",-0.0635366542007601,-6.67134869107982
"106",-0.0635366542007601,-6.73488534528058
"107",-0.0635366542007601,-6.79842199948134
"108",-0.0635366542007601,-6.8619586536821
"109",-0.0635366542007601,-6.92549530788286
"110",-0.0635366542007601,-6.98903196208362
"111",-0.0635366542007601,-7.05256861628438
"112",-0.0635366542007601,-7.11610527048514
"113",-0.0635366542007601,-7.1796419246859
