"","V1","V2","V3","V4","V5","V6","V7","V8"
"29",0.156203364,-0.2483336173,-0.0024631127,-0.0024222468,-1.7e-06,1.3391316132,12.3611424715,1.3477844939
"30",0.1552696877,-0.3328691655,-0.0024583927,-0.0024291078,-6e-07,1.3380915077,12.3617442026,1.3455202993
"31",0.1546789056,-0.2833071598,-0.0024632079,-0.0023805267,-2e-06,1.3378348338,12.3618324508,1.344770053
"32",0.1541244117,-0.3104985401,-0.0024648962,-0.0021353932,-2.9e-06,1.3382520177,12.3606806124,1.3441402695
"33",0.1535161523,-0.1510391496,-0.0024572066,0.0286083288,-1.4e-06,1.3404075496,12.3615250572,1.3420356371
"34",0.1521608136,-0.2352871956,-0.0024716207,0.2341287654,-2.3e-06,1.3423692796,12.3615413696,1.3419636898
"35",0.1517805177,-0.1258476349,-0.0024664495,0.492683563,-2e-06,1.3416783326,12.3607803466,1.342209584
"36",0.1518718788,-0.2716375747,-0.0024704981,0.7417098044,-2.7e-06,1.3424378758,12.3618214534,1.3413621997
"37",0.1510774656,-0.1220095318,-0.0024625632,1.0493166536,-2.9e-06,1.342519715,12.3612665593,1.3408330133
"38",0.1511644824,-0.2578998915,-0.0024600844,1.5024090664,-2e-06,1.3420843954,12.3611193532,1.341323397
"39",0.1512507262,-0.1092207604,-0.0024614488,2.0396150261,-2e-06,1.3415583956,12.361100449,1.3419072653
"40",0.1501452498,-0.2595519588,-0.0024637796,2.5254178417,0.0124780125,1.3405564221,12.3608785852,1.3426358046
"41",0.1499003275,-0.0992076619,-0.0024056389,2.9921256187,0.0374502483,1.3374891491,12.3605119167,1.3430289368
"42",0.1425572511,-0.2728955322,-0.001602008,3.4113174385,0.0368349435,1.3381171541,12.3615504217,1.343650957
"43",0.1479432798,-0.1038255802,0.0046453502,3.8905758237,0.0407532063,1.3393380383,12.3611679187,1.3429901512
"44",0.1473351141,-0.2607564625,0.0074933637,4.5539577388,0.0491656824,1.3386819152,12.3618124777,1.342002109
"45",0.1497058292,-0.0990332969,0.0097220875,5.0314553285,0.0506904898,1.3410147266,12.36176954,1.3415295925
"46",0.1494929424,-0.2669972695,0.0153385745,5.2868421207,0.0523555856,1.3404148885,12.3616833686,1.3393489101
"47",0.1501014052,-0.1011027977,0.0243874304,5.3768486571,0.0691654254,1.3343181538,12.3618077424,1.3404738368
"48",0.1499978771,-0.2675926589,0.0182686944,5.5821190948,0.0851375697,1.3356997844,12.3617220254,1.3429475954
"49",0.1489360234,-0.0954856246,0.0117258323,5.8730707593,0.1199622198,1.3358771887,12.361583457,1.3433321865
"50",0.1493930379,-0.2696161165,0.0080551382,6.0201456799,0.397050021,1.3353026468,12.3613779328,1.3406021178
"51",0.1484955542,-0.0958856724,0.008890903,5.9884930683,0.4773863312,1.3374168282,12.3621226139,1.3357832967
"52",0.1482405077,-0.2566440493,0.0105511773,5.9023062542,0.4478454451,1.3346181983,12.3651662897,1.3342522144
"53",0.1484547545,-0.0955107447,0.013111531,5.7720250785,0.4039003381,1.3345122945,12.3632533416,1.3383400747
"54",0.1482775396,-0.2683095711,0.0122244651,5.5235645525,0.3340689384,1.33460815,12.3619043579,1.3405809636
"55",0.1476263263,-0.0955491934,0.0115898148,5.1647455471,0.2621003769,1.3348923214,12.3616825186,1.3420485045
"56",0.1463020163,-0.2063967206,0.0104960836,4.8367264357,0.179676922,1.336182694,12.3619631476,1.341275079
"57",0.1430175092,-0.1441198894,0.0077902322,4.3551177613,0.126794914,1.3380256089,12.3612802117,1.3471206272
"58",0.1392101446,-0.1605780736,0.00649598,3.6773216294,0.0606099448,1.3397664295,12.361679671,1.3522913996
"59",0.1398952712,-0.1971164484,0.0071107601,3.0988278287,0.0391819043,1.3388063419,12.3621517039,1.3501558522
"60",0.1399722631,-0.102000151,0.0045232978,2.3577389955,0.0480843453,1.3397540787,12.3617086903,1.3496922039
"61",0.1399413511,-0.258118079,-0.0006748625,1.7632022143,0.0494956776,1.3393760862,12.3626071633,1.3496215296
"62",0.1399425523,-0.1060801614,-0.0019894704,1.2742145372,0.0442279546,1.343078794,12.3613755385,1.3490564947
"63",0.1425106326,-0.4581819875,-0.0021984406,0.8901073085,0.0374432324,1.3435786952,12.3615802323,1.3437141118
"64",0.1483604584,-0.2266717106,-0.0021891808,0.4773178901,0.0229132502,1.3424522575,12.3622452154,1.3422716515
"65",0.1495335433,-0.2796664342,-0.0023904652,0.3066180468,0.0094249746,1.3434295077,12.3618492,1.3424262095
"66",0.1491359251,-0.1157846908,-0.0025047957,0.1357852669,0.0008275462,1.3417355631,12.3614528258,1.3407326016
"67",0.148793668,-0.275313577,-0.0025032051,0.0162832153,-1.2e-06,1.3422206909,12.3621133585,1.3398201524
"68",0.1470012602,-0.111162555,-0.0024903784,-0.0021332485,-2e-06,1.342517367,12.364156016,1.3418854134
"69",0.1495288883,-0.3616030943,-0.0024880784,-0.0023862246,-1.4e-06,1.3427424334,12.362333464,1.3532663602
"70",0.1492380442,-0.238227058,-0.0024954756,-0.002378427,-8e-07,1.3401147276,12.3612540285,1.3515784114
"71",0.1505559607,-0.3732804157,-0.001375514,-0.0023901339,-9e-07,1.3397330708,12.3614037402,1.3486121869
"72",0.1509740625,-0.2139936199,-0.0022633497,-0.0023794056,-1.7e-06,1.3407656843,12.3614734812,1.3508946039
"73",0.1510074102,-0.3648716702,-0.0024522147,-0.0023945961,0,1.339533655,12.3626476141,1.3473176412
"74",0.1517999846,-0.2288693421,-0.0024584248,-0.0023955467,-1.7e-06,1.3397691484,12.3617992623,1.3467868214
"75",0.1512712258,-0.377539676,-0.002463692,-0.0024195792,-2e-06,1.341124934,12.361948015,1.3462934474
"76",0.1481209634,-0.2083230576,-0.0024670395,-0.0024079063,-8e-07,1.3409740299,12.3614270336,1.3462661454
"77",0.1465336771,-0.3823866745,-0.0024724007,-0.0024127766,-1.5e-06,1.339444958,12.3613442506,1.3449218817
"78",0.1479983002,-0.2140171516,-0.0024608698,-0.0024256681,-2.9e-06,1.3387328173,12.3597896617,1.3459436823
"79",0.1479073214,-0.3809594287,-0.0024568413,-0.0024164714,-1.7e-06,1.3390812023,12.3613876926,1.3452379324
"80",0.1463693101,-0.20791994,-0.0024622265,-0.0024095636,-1.1e-06,1.3396181405,12.3615214803,1.34561622
