"","colSums(help)"
"1",-330.011638012244
"2",6161.12125347454
"3",-1102.3558098983
"4",-10974.6136032997
"5",-608.255579392798
"6",-3879.98634137542
"7",-50073.8240359072
"8",-3917.49233571921
