"","V1","V2","V3","V4","V5","V6"
"1",643.169701392046,623.879825666084,620.139546174069,618.807561708372,616.420440780684,618.606266983831
"2",738.436765409256,716.654927510101,711.960039803662,710.130811938982,707.285212330305,709.905996240205
"3",519.992775617303,499.014482987396,495.452249784628,493.586365545382,490.973108747828,493.321061921893
"4",677.176007810213,654.4834057837,649.830844650892,648.206920177919,645.513136836085,647.868812195427
"5",786.939106398367,767.340948791557,763.673274406339,762.376621604294,759.693641027539,762.175920831987
"6",341.472478028551,329.213114103783,326.484907162071,326.122730251616,324.591666019571,326.017151026522
"7",427.070940323224,413.402135978919,410.757834431997,409.895291040976,408.412706739713,409.748108348935
"8",1938.47351302532,1881.40217093925,1870.15378418584,1866.53669543954,1859.21597874215,1865.91276514146
"9",747.083840221611,728.587385982291,724.988014499937,724.004764032878,721.918608716119,723.771535679775
"10",986.777385215472,950.780910663528,941.616824257916,938.544801591656,932.00796626413,938.109831066465
"11",758.053844686259,732.105486951094,726.775238455335,725.378488581373,722.169495271351,725.129095864511
"12",629.903246216725,610.369281689983,606.316908507689,605.072678818614,602.395916239205,604.826013090067
"13",682.231614522757,656.221579243365,650.94969994107,649.465415913438,645.704186259279,649.078537069344
"14",1510.00043334299,1467.71602908044,1458.32306349089,1455.61939264631,1450.09340059983,1454.96356754788
"15",1051.12140041997,1019.76612729079,1015.26495893266,1013.47100140176,1008.58102036258,1013.18809209555
"16",463.768015906389,449.066699867725,446.344681889977,445.655638386325,443.830430767487,445.450862590959
"17",593.576176692079,574.387178507559,570.693681830881,569.36120614681,566.911808150168,569.14039521489
"18",747.39541725452,724.946942182467,720.425820249538,718.856541355602,715.976608963103,718.55744236758
"19",2243.95053528208,2171.5902184498,2155.02093635497,2151.89236990633,2139.86486100771,2150.62658365662
"20",1050.58557834124,1001.83226921436,990.435769217742,986.710956585082,978.415124229359,985.919752125712
"21",769.061619108077,745.718592373674,741.084054043531,739.290029951165,735.899632856681,738.926616114275
"22",453.897490265599,441.123273501465,438.851230517014,437.768282146765,436.017004482319,437.621751040607
"23",3817.88556698615,3700.85212636212,3677.3865450804,3669.41617600707,3652.73150961416,3668.18742086947
"24",210.390003969983,202.984501546754,201.555961861709,201.112701101088,200.204465691284,201.052023140857
"25",856.339307837022,831.870633164014,827.815870287466,825.559329575433,822.174940807574,825.242193846272
"26",567.619684258397,547.060467593639,542.470866780449,540.554969652611,537.524124626277,540.310091148204
"27",1255.90627440727,1220.42508194621,1213.94018941404,1212.3696917445,1208.37898091765,1211.97100931983
"28",1450.99254345567,1407.81589280318,1396.56373439127,1394.15625824689,1389.44060251614,1393.50700940023
"29",1118.64801825326,1080.44572333669,1073.87789158015,1071.59775156722,1067.31023577415,1070.73613103526
"30",525.545333118226,509.926359306164,507.05196098817,506.341631321845,504.946152068012,506.231538877524
"31",551.056106649216,529.917886907716,525.36014827935,523.40538580902,521.016808885311,523.206930679373
"32",769.81036388561,741.29023646807,734.782075747931,732.720716001649,728.115813038713,732.37097133685
"33",1597.0865020019,1542.31760959994,1532.10741318306,1528.70817866064,1521.20481018699,1527.94810726398
"34",526.34555387801,507.803131590166,503.885364195582,502.902194738547,500.466512832596,502.690649883001
"35",734.035241625278,708.855114792446,702.519540033559,700.50575711135,697.236446222921,700.254446514373
"36",747.200650637804,726.132043484039,722.568525044072,720.860109816896,717.835906680933,720.501261312443
"37",574.981699597188,556.899063070022,553.335564998753,551.819914566457,549.613752787448,551.732921563951
"38",544.458707814884,520.498700291885,515.335300789029,513.826866569597,511.023704071498,513.546249055975
"39",471.520642622817,456.030619922276,453.362092939206,452.136129501159,449.952512901345,451.869028949394
"40",961.70555182099,929.71331510878,923.876256514599,921.650925301985,916.640503073855,921.255686819857
"41",624.67221618737,607.810766340168,604.402070291108,603.32289035443,601.054357000893,603.121704344568
"42",1528.39406898701,1482.52028314162,1473.08225136749,1469.42974806347,1462.03011774201,1468.70656074091
"43",841.29126885134,814.783451852434,809.768723627044,807.708275878613,803.627514704147,807.345394209406
"44",224.544661526813,218.314792060513,217.12760075288,216.873881802056,216.356684734277,216.823564100965
"45",267.900242806496,259.273328505011,257.923445421744,257.020736627025,255.73923481789,256.895800648603
"46",314.673907515823,301.591603852866,299.633124971489,298.90438647174,297.537520849538,298.797516652722
"47",702.292059187214,682.317996134561,678.434347045733,676.773018225235,673.946895260998,676.546530632653
"48",1475.37160414243,1421.71047030804,1410.34356675034,1406.75306683745,1399.13300532291,1406.10977457735
"49",439.415953350592,425.928158464234,423.735195235068,422.85924727769,421.306049190116,422.654475146282
"50",854.521281924568,829.144480288301,824.186715610571,822.223152951283,817.877275151667,821.93157355294
"51",657.25398252637,638.372392067183,634.051672348539,632.703296746044,630.366911442753,632.508861015673
"52",265.168493715186,255.572746941912,254.08670976631,253.45743833545,252.656261165989,253.254603003917
"53",337.026818038012,326.689448228715,324.433089018854,323.64891831573,322.224205776911,323.505499389914
"54",945.107627970886,914.357642984018,908.057287401747,905.506691838702,902.259158697933,905.20186277937
"55",177.826608132746,173.56698218233,172.705187828802,172.392956204552,171.885495624605,172.3340825544
"56",1048.52420876485,1015.75298265679,1008.63920438793,1006.42140363337,1002.33031825749,1006.05075273946
"57",302.894978617377,292.734540018055,291.08036248493,290.338547697868,288.908646588077,290.23378575315
"58",752.62601326664,726.928622725491,721.588777582173,720.169619608284,717.299770594394,719.955318478139
"59",766.761421835306,742.190011143572,737.351789245997,735.863435595224,733.05477131654,735.638858598283
"60",678.676599668533,656.644035153435,652.593172066923,650.566754841775,647.605355812563,650.319654631512
"61",537.967662118673,521.934598285679,519.107203678926,517.826752621239,516.240764461875,517.590492866872
"62",363.20862100156,353.029790370653,350.946677922586,350.264631446147,349.205433450125,350.155303540496
"63",754.310247525033,727.946996920328,722.234771837379,720.655654394995,715.671226757824,720.201599029416
"64",809.842051848592,787.562060665552,783.157738633684,782.279139667709,780.4783672481,782.100184697059
"65",664.093963360247,643.314601718243,639.368482772111,637.778485963312,634.905048511928,637.501579389281
"66",347.206195810043,336.481017499472,334.646893809443,333.861947807107,332.745523074095,333.787181899936
"67",1097.96013204801,1066.78389258556,1060.30129136503,1056.80099320055,1051.85513240562,1056.50619393192
"68",617.32826240559,597.746302996228,593.7522255271,592.344345620426,589.579451461019,592.108415481268
"69",600.25684643949,577.551210883818,573.793589422966,572.209622960041,569.254883297538,571.846055181903
"70",975.893352922815,941.377536867134,934.222571915989,931.545560187618,926.010338461096,930.87381607718
"71",542.133505898126,523.849288019209,520.160424573406,518.75147442247,516.297183325937,518.478902610005
"72",753.318538259573,731.495331444898,727.5631904031,726.569104944952,723.717315056077,726.39821249894
"73",1052.99542473611,1022.27747485556,1016.21851348652,1014.10039273009,1010.32885032002,1013.72391031475
"74",2794.60036749372,2707.38226288962,2690.21047875328,2684.12740951345,2672.98187680306,2683.0037913409
"75",1095.57224532237,1060.63914013213,1052.37639905168,1050.14203219714,1044.71998448782,1049.46393195428
"76",710.265406186928,688.799935426816,685.468236114904,684.191961403899,681.653452922311,683.974004793395
"77",750.447460279036,727.011156148082,722.328832043184,720.337103798648,715.917596359258,719.994207724467
"78",797.540948777999,772.838635190518,768.018185707653,766.572035720169,763.030906122541,766.293304492661
"79",754.916891599323,729.810881847586,724.241322557016,722.462845132999,719.213580430818,722.171510225983
"80",1874.00275356166,1787.89908085396,1769.63748912693,1763.84215155791,1752.71527490412,1763.02712162896
"81",760.188945720069,729.58310591325,724.327781314379,722.023530593646,716.457756804326,721.63712060903
"82",485.890814647,470.608767526468,466.980821056697,466.205184579786,464.978255823378,466.047219776842
"83",518.183992113954,501.240999743595,497.088961400473,495.609036115354,493.455605310955,495.433931184426
"84",750.982100569221,731.205441024111,727.920159924252,726.436071752806,723.946751410409,726.22965296239
"85",770.913852248486,746.60154930005,741.961255040319,740.509919951551,737.667920368315,740.246232281248
"86",1476.68541903751,1433.76868222007,1425.55372979416,1422.68893460108,1417.0691287875,1422.15535650073
"87",660.860465481251,638.176545490485,631.463441521178,628.859122636241,624.759047330827,628.615321070649
"88",410.579731255188,398.572414437095,396.371776055096,395.624388874551,393.921212074286,395.472322244177
