"","V1"
"333",16.7908922727
"334",18.4416763542
"335",20.5264652436
"336",20.9789364456
"337",20.2714639867
"338",21.4833641599
"339",18.2686493126
"340",16.6927667979
"341",16.9076122161
"342",17.3438974978
"343",16.1173683802
"344",19.0363433361
"345",17.2454330365
"346",18.0249757836
"347",18.3407613626
"348",19.1025175111
"349",20.6404137807
"350",18.0723965132
"351",17.6742635396
"352",19.3328761761
"353",18.5366149921
"354",19.1285399274
"355",19.8540595577
"356",22.2131986931
"357",22.6103884846
"358",24.0225229963
"359",24.4311215078
"360",26.6711157749
"361",29.2773115487
"362",29.1826321854
"363",26.1289792388
"364",27.8522772107
"365",27.8929628391
"366",29.0893207242
"367",29.7145215145
"368",27.7340233338
"369",27.0699283657
"370",24.467391154
"371",22.9895633128
"372",22.1951736155
"373",22.1205459226
"374",20.6107006989
"375",19.1096118689
"376",20.6482788724
"377",19.9429467518
"378",18.4464988319
"379",17.4835344459
"380",16.1853687033
"381",14.6811036868
"382",12.8906858876
"383",12.3872820098
"384",11.9215826599
"385",11.584994086
"386",11.004083278
"387",10.175074897
"388",10.444216791
"389",10.5047559081
"390",9.6136060777
"391",9.1482067782
"392",9.6828885044
"393",10.5255429398
"394",9.4618452863
"395",9.4463219048
"396",9.1347111894
"397",9.1817529844
"398",9.5140326392
"399",9.0891188958
"400",8.8433046258
"401",9.2231029395
"402",8.7404103618
"403",8.9181120883
"404",9.5184239269
"405",10.4404939456
"406",10.1123490302
"407",10.6973633579
"408",11.3722124779
"409",12.1121403333
"410",11.5913556371
"411",12.4028349111
"412",13.8446315156
"413",12.8420643742
"414",14.3029759409
"415",14.5187997984
"416",15.4804544865
"417",15.4150599704
"418",14.6152413046
"419",15.0597779512
"420",16.9908542765
"421",17.3776504956
"422",19.1357440837
"423",19.1441685197
"424",20.1026918623
"425",17.288170011
"426",16.6021478359
"427",17.2388619715
"428",18.110045833
"429",17.0225136203
"430",17.9369535471
"431",16.8990818681
"432",18.7106608293
"433",18.0877360354
"434",18.2897477535
"435",18.6690309967
"436",18.0991039636
"437",19.4742504345
"438",19.2176437038
"439",18.6365741803
"440",19.9980086968
"441",18.1213803892
"442",18.8086601441
"443",17.8769058949
"444",20.0270951974
"445",19.7897195217
"446",22.8042269542
"447",18.9313523161
"448",18.9954823573
"449",18.1411803304
"450",19.010113851
"451",20.9182853801
"452",20.4667120245
"453",23.1585538033
"454",22.9735209565
"455",23.93508519
"456",26.6568318975
"457",26.0624978257
"458",26.7104408226
"459",28.3324406605
"460",26.8838846641
"461",26.5943454454
"462",25.9633771324
"463",25.8073874345
"464",24.782357361
"465",24.5843844114
"466",23.3221984315
"467",23.607735551
"468",23.1516143555
"469",20.5938057046
"470",19.9789966521
"471",19.8613778926
"472",19.1087925499
"473",17.570676396
"474",17.4105245452
"475",17.3755365651
"476",17.9235733632
"477",15.6065981634
"478",14.661515687
"479",13.2844293822
"480",13.4536632694
