"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0.00111018,0.002396711,1.5e-06,0,0,0
"2",0,0,0.0011064088,0.0023876925,8e-07,0,0,0
"3",0,0,0.0011073075,0.0024052041,9e-07,0,0,0
"4",0,0,0.00110265,0.0024061071,9e-07,0,0,0
"5",0,0,0.0011018662,0.0023934113,1.7e-06,0,0,0
"6",0,0,0.0011032075,0.0024054688,1.1e-06,0,0,0
"7",0,0,0.0011021481,0.0024090254,1.7e-06,0,0,0
"8",0,0,0.0011023369,0.0024134036,6e-07,0,0,0
"9",0,0,0.0011155691,0.0024084684,2.2e-06,0,0,0
"10",0,0,0.0011146772,0.0024153514,0,0,0,0
"11",0,0,0.0022630977,0.0024218271,2e-06,0,0,0
"12",0,0,0.0015302336,0.0024242187,1.7e-06,0,0,0
"13",0,0,0.0011072072,0.0024288044,6e-07,0,0,0
"14",0,0,0.0011108072,0.0024196783,1.1e-06,0,0,0
"15",0,0,0.0022991703,0.0024323265,2.3e-06,0,0,0.0007539844
"16",0,0,0.0024462667,0.0024238092,1.8e-06,0,0,0.0017721156
"17",0,0,0.0024629413,0.0024319773,8e-07,0,0,0
"18",0,0,0.0024682616,0.0024351717,1.7e-06,0,0,0
"19",0,0,0.0024627162,0.0024318596,2e-06,0,0,0
"20",0,0,0.0024573634,0.0024317302,2e-06,0,0,0
"21",0,0,0.002462989,0.0024461432,3.1e-06,0,0,0
"22",0,0,0.0024602643,0.0024414703,9e-07,0,0,0
"23",0,0,0.0014545424,0.0024314923,2.2e-06,0,0,0
"24",0,0.0200835912,0.0023066676,0.0024322017,9e-07,0,0,0
"25",0,0.2684014531,0.0024487935,0.0024351611,8e-07,0,0,0
"26",0,0.3154267824,0.002470043,0.0024227456,2.6e-06,0,0,0
"27",0,0.2767418195,0.0024646419,0.0024165358,2.3e-06,0,0,0
"28",0,0.3134487298,0.0024699377,0.002416972,1.7e-06,0,0,0
"29",0,0.2483336173,0.0024631127,0.0024222468,1.7e-06,0,0,0
"30",0,0.3328691655,0.0024583927,0.0024291078,6e-07,0,0,0
"31",0,0.2833071598,0.0024632079,0.0023805267,2e-06,0,0,0
"32",0,0.3104985401,0.0024648962,0.0021353932,2.9e-06,0,0,0
"33",0,0.1510391496,0.0024572066,0.0012758201,1.4e-06,0,0,0
"34",0,0.2352871956,0.0024716207,0,2.3e-06,0,0,0
"35",0,0.1258476349,0.0024664495,0,2e-06,0,0,0
"36",0,0.2716375747,0.0024704981,0,2.7e-06,0,0,0
"37",0,0.1220095318,0.0024625632,0,2.9e-06,0,0,0
"38",0,0.2578998915,0.0024600844,0,2e-06,0,0,0
"39",0,0.1092207604,0.0024614488,0,2e-06,0,0,0
"40",0,0.2595519588,0.0024637796,0,3e-07,0,0,0
"41",0,0.0992076619,0.0024056389,0,0,0,0,0
"42",0,0.2728955322,0.0019446898,0,0,0,0,0
"43",0,0.1038255802,7.88e-05,0,0,0,0,0
"44",0,0.2607564625,7.99e-05,0,0,0,0,0
"45",0,0.0990332969,0,0,0,0,0,0
"46",0,0.2669972695,0,0,0,0,0,0
"47",0,0.1011027977,0,0,0,0,0,0
"48",0,0.2675926589,0,0,0,0,0,0
"49",0,0.0954856246,0,0,0,0,0,0
"50",0,0.2696161165,2e-06,0,0,0,0,0
"51",0,0.0958856724,0,0,0,0,0,0
"52",0,0.2566440493,0,0,0,0,0,0
"53",0,0.0955107447,0,0,0,0,0,0
"54",0,0.2683095711,0,0,0,0,0,0
"55",0,0.0955491934,0,0,0,0,0,0
"56",0,0.2063967206,0,0,0,0,0,0
"57",0,0.1441198894,0,0,0,0,0,0
