"","V1","V2"
"248",15.5867509393,NA
"249",15.4154610062,NA
"250",15.4539047646,NA
"251",15.4548923365,NA
"252",15.3886379712,NA
"253",15.316829931,NA
"254",15.2865754689,NA
"255",15.2001392156,NA
"256",15.1808830189,NA
"257",15.1791263888,NA
"258",15.174741784,NA
"259",15.1827275021,NA
"260",15.1848220571,NA
"261",15.1853898814,NA
"262",15.1849207462,NA
"263",15.1882414323,NA
"264",15.1870503726,NA
"265",15.1822102142,NA
"266",15.1813270698,NA
"267",15.1859709771,NA
"268",15.1826116029,NA
"269",15.1844542893,NA
"270",15.1826011703,NA
"271",15.1844458652,NA
"272",15.180998952,NA
"273",15.1831168742,NA
"274",15.1796764702,NA
"275",15.184470617,NA
"276",15.1826884371,NA
"277",15.174276573,NA
"278",15.1735984054,NA
"279",15.1712972442,NA
"280",15.1029200261,NA
"281",15.1402210214,NA
"282",15.1441467093,NA
"283",15.1346296507,NA
"284",15.1400093452,NA
"285",13.9763423698,NA
"286",13.5648919719,NA
"287",13.4296551512,NA
"288",12.58428792,NA
"289",11.468066881,NA
"290",10.446007446,NA
"291",10.6042832137,NA
"292",10.356881957,NA
"293",10.2003656104,NA
"294",9.8491312209,NA
"295",9.7477689636,NA
"296",10.4072706237,NA
"297",9.9816810201,NA
"298",9.2713611044,NA
"299",9.4903141984,NA
"300",9.3031694934,NA
"301",9.2216934685,NA
"302",8.961673321,NA
"303",8.8926944226,NA
"304",9.6415629412,NA
"305",9.8608853311,NA
"306",9.1925631202,NA
"307",9.1630497526,NA
"308",9.1165246564,NA
"309",9.4655519596,NA
"310",9.6071966734,NA
"311",10.949014943,NA
"312",10.3813884918,NA
"313",11.462153153,NA
"314",12.1600213968,NA
"315",13.4631518158,NA
"316",12.3609094476,NA
"317",13.0781121617,NA
"318",14.4730921542,NA
"319",15.0949770685,NA
"320",15.1721515722,NA
"321",15.1960437583,NA
"322",15.1815253349,NA
"323",15.1866725514,NA
"324",15.1889635466,NA
"325",15.2007110783,NA
"326",15.2296554702,NA
"327",15.272502273,NA
"328",15.3912587457,NA
"329",15.5264728828,NA
"330",15.5610855633,NA
