"","V1","V2"
"235",4.034175471,190.502909
"236",3.0272216013,193.5301306013
"237",5.295485042,198.8256156433
"238",5.7207222636,204.5463379069
"239",4.9220864149,209.4684243218
"240",3.6107092945,213.0791336163
"241",2.853351952,215.9324855683
"242",5.5364881742,221.4689737425
"243",2.8203246507,224.2892983932
"244",4.2737344938,228.563032887
"245",4.8474830306,233.4105159176
"246",3.4269416676,236.8374575852
"247",3.0124676283,239.8499252135
"248",1.8850061799,241.7349313934
"249",3.5479382415,245.2828696349
"250",2.9420090253,248.2248786602
"251",2.2505379021,250.4754165623
"252",1.9535681583,252.4289847206
"253",3.4610943836,255.8900791042
"254",4.2449494909,260.1350285951
"255",3.5465225687,263.6815511638
"256",4.8341463442,268.515697508
"257",6.2163594191,274.7320569271
"258",9.4421817066,284.1742386337
"259",8.5323309105,292.7065695442
"260",7.6665402551,300.3731097993
"261",10.3118991188,310.6850089181
"262",9.0950357436,319.7800446617
"263",9.9964430472,329.7764877089
"264",11.5653815339,341.3418692428
"265",10.9438371622,352.285706405
"266",10.1278418027,362.4135482077
"267",11.4703390169,373.8838872246
"268",12.8018096224,386.685696847
"269",13.8147152189,400.5004120659
"270",12.3217493815,412.8221614474
"271",9.5828764269,422.4050378743
"272",7.404608147,429.8096460213
"273",7.581086171,437.3907321923
"274",6.8153418293,444.2060740216
"275",5.3713647732,449.5774387948
"276",4.2705722688,453.8480110636
"277",3.5012530361,457.3492640997
"278",4.7546233841,462.1038874838
"279",3.4274128285,465.5313003123
"280",2.9661237774,468.4974240897
"281",2.3523141223,470.849738212
"282",1.0313469981,471.8810852101
"283",1.2188764078,473.0999616179
"284",1.3460010322,474.4459626501
"285",1.4413195863,475.8872822364
"286",-0.750986341399997,475.136295895
"287",-1.7272572477,473.4090386473
"288",-2.7235057836,470.6855328637
"289",-3.8514207446,466.8341121191
"290",-4.7774859792,462.0566261399
"291",-4.5961624135,457.4604637264
"292",-4.875470621,452.5849931054
"293",-4.9332507109,447.6517423945
"294",-5.3008276494,442.3509147451
"295",-5.532105081,436.8188096641
"296",-4.734167603,432.0846420611
"297",-5.1682386979,426.9164033632
"298",-6.0114643035,420.9049390597
"299",-5.7304378205,415.1745012392
"300",-6.1081944798,409.0663067594
"301",-6.145452831,402.9208539284
"302",-6.3533781929,396.5674757355
"303",-6.5519701576,390.0155055779
"304",-5.6333529642,384.3821526137
