"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0,0,0,0,0,0
"4",0.255817234600002,0.255817234600002,0.255817234599988,0.255817234599988,0.255817234600045,0.255817234600045
"5",0,0,0,0,0,0
"6",0.0293081372999993,0.0293081373000064,0.0293081373000064,0.0293081373000064,0.0293081372999495,0.0293081372999495
"7",1.4354354192,1.4354354192,1.43543541919999,1.43543541920002,1.43543541919996,1.43543541919996
"8",2.1042500117,2.1042500117,2.1042500117,2.1042500117,2.10425001169995,2.10425001169995
"9",1.1756857903,1.17568579029999,1.17568579030001,1.17568579030001,1.17568579030001,1.17568579030001
"10",1.5315297492,1.5315297492,1.53152974919999,1.53152974919999,1.53152974919999,1.53152974919999
"11",2.0227617177,2.02276171769999,2.02276171770001,2.02276171770001,2.02276171769995,2.02276171769995
"12",3.6283595197,3.6283595197,3.62835951969998,3.62835951969998,3.62835951969998,3.62835951969998
"13",3.7805859231,3.78058592310001,3.78058592309998,3.78058592309998,3.78058592310003,3.78058592310003
"14",3.68125654399999,3.68125654399999,3.68125654400001,3.68125654400001,3.68125654400001,3.68125654400001
"15",4.4611955511,4.4611955511,4.46119555109999,4.46119555109999,4.46119555109999,4.46119555109999
"16",5.1102646842,5.1102646842,5.11026468419999,5.11026468420005,5.11026468420005,5.11026468420005
"17",4.9593163687,4.9593163687,4.9593163687,4.9593163687,4.9593163687,4.9593163687
"18",4.3913797495,4.3913797495,4.3913797495,4.39137974949995,4.39137974949995,4.39137974949995
"19",5.1317523134,5.1317523134,5.1317523134,5.13175231339994,5.13175231340006,5.13175231340006
"20",3.42357275699999,4.62213897629999,4.62213897629999,4.62213897629999,4.62213897629999,4.62213897629999
"21",0,5.11563060430001,5.11563060430001,5.11563060430001,5.11563060429989,5.11563060430001
"22",0,4.49887156860001,4.49887156860001,4.49887156859995,4.49887156859995,4.49887156859995
"23",0,5.32431881369999,5.32431881370002,5.32431881369996,5.32431881370007,5.32431881369996
"24",0,5.29147476700001,5.29147476700001,5.29147476699995,5.29147476699995,5.29147476699995
"25",0,4.496001511,4.49600151099997,4.49600151100003,4.49600151100003,4.49600151100003
"26",0,4.27017489389999,4.27017489389999,4.27017489390005,4.27017489390005,4.27017489390005
"27",0,4.2840038448,4.2840038448,4.28400384480005,4.28400384480005,4.28400384480005
"28",0,4.16440245979999,4.16440245979999,4.16440245980004,4.16440245979993,4.16440245980004
"29",0,4.07240227459999,4.07240227459999,4.07240227459999,4.07240227460011,4.07240227459999
"30",0,2.284153043,3.80320060269997,3.80320060270003,3.80320060269992,3.80320060270003
"31",0,0,3.61218440170001,3.61218440170001,3.61218440170001,3.61218440170001
"32",0,0,3.39447726639997,3.39447726640003,3.39447726639992,3.39447726640003
"33",0,0,3.77651983750002,3.77651983750002,3.77651983750002,3.77651983750002
"34",0,0,3.83061454889997,3.83061454890003,3.83061454890003,3.83061454890003
"35",0,0,3.85931782099999,3.85931782099999,3.8593178210001,3.85931782099999
"36",0,0,1.80501095030002,1.80501095030002,1.8050109502999,1.80501095030002
"37",0,0,2.89974457800002,2.89974457799997,2.89974457800008,2.89974457799997
"38",0,0,3.01311793410002,3.01311793410002,3.01311793409991,3.01311793410002
"39",0,0,2.19821494579998,2.19821494580003,2.19821494579992,2.19821494580003
"40",0,0,1.99061250670002,1.99061250670002,1.99061250670002,1.99061250670002
"41",0,0,3.38483908260002,3.38483908260002,3.38483908259991,3.38483908260002
"42",0,0,5.05709364329999,5.05709364330005,5.05709364330005,5.05709364330005
"43",0,0,4.44858515990001,4.44858515989995,4.44858515989995,4.44858515989995
"44",0,0,3.32453280300001,3.32453280300001,3.32453280300001,3.32453280300001
"45",0,0,3.16430506709997,3.16430506710003,3.16430506710003,3.16430506710003
"46",0,0,2.55008093399999,2.55008093399999,2.55008093400011,2.55008093399999
"47",0,0,3.29474913749999,3.29474913750005,3.29474913750005,3.29474913750005
"48",0,0,0.998606204300017,0.998606204300017,0.998606204299904,0.998606204300017
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",2.25584385169999,2.25584385170001,2.25584385169998,2.25584385169998,2.25584385170009,2.25584385169998
"55",1.8254096205,1.82540962050001,1.82540962050001,1.82540962049995,1.82540962050007,1.82540962049995
"56",0,0,0,0,0,0
"57",0.37374866830001,0.37374866830001,0.373748668299982,0.373748668299982,0.373748668300095,0.373748668299982
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
