"","V1","V2"
"237",5.295485042,NA
"238",5.7207222636,NA
"239",4.9220864149,NA
"240",3.6107092945,NA
"241",2.853351952,NA
"242",5.5364881742,NA
"243",2.8203246507,NA
"244",4.2737344938,NA
"245",4.8474830306,NA
"246",3.4269416676,NA
"247",3.0124676283,NA
"248",1.8850061799,NA
"249",3.5479382415,NA
"250",2.9420090253,NA
"251",2.2505379021,NA
"252",1.9535681583,NA
"253",3.4610943836,NA
"254",4.2449494909,NA
"255",3.5465225687,NA
"256",4.8341463442,NA
"257",6.2163594191,NA
"258",9.4421817066,NA
"259",8.5323309105,NA
"260",7.6665402551,NA
"261",10.3118991188,NA
"262",9.0950357436,NA
"263",9.9964430472,NA
"264",11.5653815339,NA
"265",10.9438371622,NA
"266",10.1278418027,NA
"267",11.4703390169,NA
"268",12.8018096224,NA
"269",13.8147152189,NA
"270",12.3217493815,NA
"271",9.5828764269,NA
"272",7.404608147,NA
"273",7.581086171,NA
"274",6.8153418293,NA
"275",5.3713647732,NA
"276",4.2705722688,NA
"277",3.5012530361,NA
"278",4.7546233841,NA
"279",3.4274128285,NA
"280",2.9661237774,NA
"281",2.3523141223,NA
"282",1.0313469981,NA
"283",1.2188764078,NA
"284",1.3460010322,NA
"285",1.4413195863,NA
"286",-0.750986341399997,NA
"287",-1.7272572477,NA
"288",-2.7235057836,NA
"289",-3.8514207446,NA
"290",-4.7774859792,NA
"291",-4.5961624135,NA
"292",-4.875470621,NA
"293",-4.9332507109,NA
"294",-5.3008276494,NA
"295",-5.532105081,NA
"296",-4.734167603,NA
"297",-5.1682386979,NA
"298",-6.0114643035,NA
"299",-5.7304378205,NA
"300",-6.1081944798,NA
"301",-6.145452831,NA
"302",-6.3533781929,NA
"303",-6.5519701576,NA
"304",-5.6333529642,NA
"305",-5.5007317734,NA
"306",-6.2438451634,NA
"307",-6.1505903624,NA
"308",-6.3754060542,NA
"309",-5.8613484462,NA
"310",-5.7148702355,NA
"311",-4.5343691289,NA
"312",-4.9022653443,NA
"313",-3.7413216007,NA
"314",-3.04665734,NA
"315",-1.7402667252,NA
"316",-2.8414230149,NA
"317",-2.1247622967,NA
"318",-0.728739304899999,NA
"319",-0.104383090100001,NA
"320",-0.0219084495999997,NA
"321",2.0303566124,NA
"322",1.3613529836,NA
"323",1.9791296721,NA
"324",2.4833781337,NA
"325",4.2610181774,NA
"326",2.9441806827,NA
"327",1.1148197829,NA
"328",2.9800012434,NA
"329",6.1589444639,NA
"330",3.0174707054,NA
"331",5.3616546033,NA
"332",1.1367319391,NA
"333",0.948232504899996,NA
"334",2.5183200479,NA
"335",4.8621263087,NA
"336",5.2612006115,NA
"337",4.5053478058,NA
"338",5.426189897,NA
"339",2.1766102319,NA
"340",0.698428983099999,NA
"341",1.273158799,NA
"342",1.8038030996,NA
"343",0.641234247799996,NA
"344",3.6594422925,NA
"345",1.8460519251,NA
"346",2.5801152188,NA
"347",2.921422307,NA
"348",3.8036623274,NA
"349",5.2813423182,NA
"350",2.7071780304,NA
"351",2.412269121,NA
"352",4.1363126796,NA
"353",3.3414353734,NA
"354",3.9366687637,NA
"355",4.6592428306,NA
"356",7.0119407284,NA
"357",7.4147460136,NA
"358",8.8333866604,NA
"359",9.2406639608,NA
"360",11.4764061421,NA
"361",14.0814308934,NA
"362",13.9856171514,NA
"363",10.9319384424,NA
"364",12.6523240481,NA
"365",12.685662638,NA
"366",13.882616836,NA
"367",14.5124856362,NA
"368",12.529887023,NA
"369",11.8705079818,NA
"370",9.2679995754,NA
"371",7.7917378811,NA
"372",6.9996240339,NA
"373",6.9270110605,NA
"374",5.4139819588,NA
"375",3.9085248327,NA
"376",5.5247296188,NA
"377",4.7872786434,NA
"378",3.2822056381,NA
"379",2.3283772615,NA
