"","V1"
"313",0.753916676199992
"314",0.799650048986231
"315",0.885534511826606
"316",0.813092956498023
"317",0.860239436791112
"318",0.952062400713977
"319",0.993132402350441
"320",0.998558091150847
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",0.913611732680138
"383",0.810269280596288
"384",0.785999326632706
"385",0.757396661574386
"386",0.715928749501694
"387",0.67141825107394
"388",0.689517872145617
"389",0.693696837942859
"390",0.628894481167191
"391",0.604299682196933
"392",0.639460448009481
"393",0.688240870046854
"394",0.624582016667656
"395",0.621475113745356
"396",0.590978082664859
"397",0.598996494123467
"398",0.621129911273912
"399",0.580954420007207
"400",0.574479153190476
"401",0.597385974121327
"402",0.569235821409668
"403",0.582333160261801
"404",0.614747316777491
"405",0.681780686239827
"406",0.656460774293805
"407",0.695098081204983
"408",0.743609041463712
"409",0.796343150481652
"410",0.762147006317151
"411",0.815700242241644
"412",0.910385846246963
"413",0.844792127999541
"414",0.940699162156068
"415",0.954254124697617
"416",1
"417",1
"418",0.960584567037138
"419",0.989956859396289
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",0.999141248021805
"479",0.868404780467163
"480",0.887929486952619
"481",0.859912107697217
"482",0.825510890155853
"483",0.813863245060406
"484",0.781017561743356
"485",0.762476815960095
"486",0.727426943254372
"487",0.685970706305648
"488",0.709780972026447
"489",0.685069271465315
"490",0.704225496331219
"491",0.712912779499268
"492",0.723603704324838
"493",0.667056109589623
"494",0.685566759176429
"495",0.672273560096088
"496",0.667922124651967
"497",0.67353569441723
"498",0.683448716414575
"499",0.707661513869238
"500",0.677033601517187
"501",0.692017307667557
"502",0.680564910808698
"503",0.756926211139316
"504",0.833603990071495
"505",0.914737323388467
"506",0.961429817136816
"507",0.920869672754618
"508",0.850287804660983
"509",0.917891437967951
"510",0.950251497375265
"511",0.996208382185703
"512",1
"513",1
"514",1
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",1
"534",1
"535",1
"536",1
"537",0.974856154752145
"538",1
"539",1
"540",1
"541",1
"542",1
"543",1
"544",1
"545",1
"546",1
"547",1
"548",1
"549",1
"550",1
"551",1
"552",1
"553",1
"554",1
"555",1
"556",1
"557",1
"558",1
"559",1
"560",1
"561",1
"562",1
"563",1
"564",1
"565",1
"566",1
"567",1
"568",1
"569",1
"570",1
"571",1
"572",1
"573",1
"574",1
"575",0.981152736357707
"576",0.896881245557018
"577",0.874431244397144
"578",0.831959260614696
"579",0.844438444010665
"580",0.887245896725552
"581",0.86518871393212
"582",0.845667326543367
"583",0.71866444207692
"584",0.688303420283887
"585",0.685221354692555
"586",0.686076084059861
"587",0.703038276830213
"588",0.734122996186725
"589",0.660561513304733
"590",0.688505997772834
"591",0.692994809651986
"592",0.68278679315286
"593",0.662840760128957
"594",0.664128649218189
"595",0.634432329927732
"596",0.642296000376971
"597",0.672882099205215
"598",0.668659530205862
"599",0.728791636918528
"600",0.730347190469347
"601",0.77274065089392
"602",0.744789704939735
"603",0.797934492709494
"604",0.772261912973509
"605",0.821248571536339
"606",0.834450615896067
"607",0.938531815738731
"608",0.9188648989098
"609",1
"610",1
"611",1
"612",1
"613",1
"614",1
"615",1
"616",1
"617",1
"618",1
"619",1
"620",1
"621",1
"622",1
"623",1
"624",1
"625",1
"626",1
"627",1
"628",1
"629",1
"630",1
"631",1
"632",1
"633",1
"634",1
"635",1
"636",1
"637",1
"638",1
"639",1
"640",1
"641",1
"642",1
"643",1
"644",1
"645",1
"646",1
"647",1
"648",1
"649",1
"650",1
"651",1
"652",1
"653",1
"654",1
"655",1
"656",1
"657",1
"658",1
"659",1
"660",1
"661",1
"662",1
"663",1
"664",1
"665",1
"666",1
"667",1
"668",1
"669",1
"670",1
"671",1
"672",0.968928852725724
"673",1
"674",0.880116010087883
"675",0.857227450497628
"676",0.81793307745156
"677",0.762646966731006
"678",0.757772944130282
"679",0.70552676793603
"680",0.705190474656421
"681",0.683216943247912
"682",0.704492488217794
"683",0.623821770612061
"684",0.681426214657205
"685",0.646963844593502
"686",0.626947771198223
"687",0.588350790991375
"688",0.608069035916542
"689",0.60801642825676
"690",0.623884724361679
"691",0.654988905828877
"692",0.647614671570671
"693",0.620350663757736
"694",0.62154728252688
"695",0.66729974261378
"696",0.652873861407033
"697",0.707534480849706
"698",0.686649772737341
"699",0.753862420354902
"700",0.723267561916246
"701",0.909915566187487
"702",0.812626425646497
"703",0.785946107883605
"704",0.839733464403063
"705",0.84123977449659
"706",0.979941274676384
"707",1
"708",1
"709",1
"710",1
"711",1
"712",1
"713",1
"714",1
"715",1
"716",1
"717",1
"718",1
"719",1
"720",1
"721",1
"722",1
"723",1
"724",1
"725",1
"726",1
"727",1
